# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.01), ('batch_size', 8), ('n_lstm', 16), ('n_updates', 50000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 10000.0), ('validate_at', 5000.0), ('n_samples', 100000.0), ('rnd_seed', 123)])
[train] u: 0000100; loss: 0.5444835; sec/update: 0.0324014;lr: 0.0099802
[train] u: 0000200; loss: 0.4249437; sec/update: 0.0309750;lr: 0.0099602
[train] u: 0000300; loss: 0.2871305; sec/update: 0.0297868;lr: 0.0099403
[train] u: 0000400; loss: 0.3000128; sec/update: 0.0312255;lr: 0.0099203
[train] u: 0000500; loss: 0.2216505; sec/update: 0.0355855;lr: 0.0099003
[train] u: 0000600; loss: 0.1870740; sec/update: 0.0336422;lr: 0.0098803
[train] u: 0000700; loss: 0.1060655; sec/update: 0.0305558;lr: 0.0098603
[train] u: 0000800; loss: 0.1404831; sec/update: 0.0299257;lr: 0.0098404
[train] u: 0000900; loss: 0.0595879; sec/update: 0.0292683;lr: 0.0098204
[train] u: 0001000; loss: 0.0595911; sec/update: 0.0303222;lr: 0.0098004
[train] u: 0001100; loss: 0.1049097; sec/update: 0.0301148;lr: 0.0097804
[train] u: 0001200; loss: 0.1238653; sec/update: 0.0289339;lr: 0.0097604
[train] u: 0001300; loss: 0.0661772; sec/update: 0.0291348;lr: 0.0097405
[train] u: 0001400; loss: 0.0863785; sec/update: 0.0311502;lr: 0.0097205
[train] u: 0001500; loss: 0.0991713; sec/update: 0.0297830;lr: 0.0097005
[train] u: 0001600; loss: 0.0794833; sec/update: 0.0298016;lr: 0.0096805
[train] u: 0001700; loss: 0.1882561; sec/update: 0.0312315;lr: 0.0096605
[train] u: 0001800; loss: 0.1317766; sec/update: 0.0293997;lr: 0.0096406
[train] u: 0001900; loss: 0.1008699; sec/update: 0.0297644;lr: 0.0096206
[train] u: 0002000; loss: 0.0880415; sec/update: 0.0292386;lr: 0.0096006
[train] u: 0002100; loss: 0.0671019; sec/update: 0.0297119;lr: 0.0095806
[train] u: 0002200; loss: 0.0814175; sec/update: 0.0294989;lr: 0.0095606
[train] u: 0002300; loss: 0.0965019; sec/update: 0.0294565;lr: 0.0095407
[train] u: 0002400; loss: 0.0910685; sec/update: 0.0312971;lr: 0.0095207
[train] u: 0002500; loss: 0.0806140; sec/update: 0.0307136;lr: 0.0095007
[train] u: 0002600; loss: 0.1023193; sec/update: 0.0306709;lr: 0.0094807
[train] u: 0002700; loss: 0.0757668; sec/update: 0.0301117;lr: 0.0094607
[train] u: 0002800; loss: 0.0711642; sec/update: 0.0291977;lr: 0.0094408
[train] u: 0002900; loss: 0.0623728; sec/update: 0.0339560;lr: 0.0094208
